iata,ville,pays,nom,ville_fr,pays_fr,mots,liaisons
ATL,Atlanta,United States,Hartsfield Jackson Atlanta,,États-Unis,USA US Etats Unis,1826
ORD,Chicago,United States,Chicago O'Hare,,États-Unis,USA US Etats Unis,1108
PEK,Beijing,China,Beijing Capital,Pékin,Chine,,1069
LHR,London,United Kingdom,London Heathrow,Londres,Royaume-Uni,Angleterre GB Grande-Bretagne,1051
CDG,Paris,France,Charles de Gaulle,,,,1041
FRA,Frankfurt,Germany,Frankfurt am Main,Francfort,Allemagne,,990
LAX,Los Angeles,United States,Los Angeles,,États-Unis,USA US Etats Unis,990
DFW,Dallas-Fort Worth,United States,Dallas Fort Worth,,États-Unis,USA US Etats Unis,936
JFK,New York,United States,John F Kennedy,,États-Unis,NYC USA US Etats Unis,911
AMS,Amsterdam,Netherlands,Amsterdam Schiphol,,Pays-Bas,Hollande,903
PVG,Shanghai,China,Shanghai Pudong,,Chine,,825
SIN,Singapore,Singapore,Singapore Changi,Singapour,Singapour,,820
BCN,Barcelona,Spain,Barcelona,Barcelone,Espagne,,783
ICN,Seoul,South Korea,Incheon,Séoul,Corée du Sud,,740
DEN,Denver,United States,Denver,,États-Unis,USA US Etats Unis,735
MIA,Miami,United States,Miami,,États-Unis,USA US Etats Unis,734
MUC,Munich,Germany,Munich,Munich,Allemagne,,728
IST,Istanbul,Turkey,Istanbul,Istanbul,Turquie,,719
DXB,Dubai,United Arab Emirates,Dubai,Dubaï,Émirats arabes unis,,710
HKG,Hong Kong,Hong Kong,Hong Kong,,,,710
LGW,London,United Kingdom,London Gatwick,Londres,Royaume-Uni,Angleterre GB Grande-Bretagne,708
CAN,Guangzhou,China,Guangzhou Baiyun,,Chine,,674
FCO,Rome,Italy,Leonardo da Vinci–Fiumicino,Rome,Italie,,662
MAD,Madrid,Spain,Adolfo Suárez Madrid–Barajas,,Espagne,,661
BKK,Bangkok,Thailand,Suvarnabhumi,,Thaïlande,,656
DME,Moscow,Russia,Domodedovo,Moscou,Russie,,649
CTU,Chengdu,China,Chengdu Shuangliu,,Chine,,647
YYZ,Toronto,Canada,Lester B. Pearson,,,,636
BRU,Brussels,Belgium,Brussels,Bruxelles,Belgique,,631
MAN,Manchester,United Kingdom,Manchester,,Royaume-Uni,Angleterre GB Grande-Bretagne,627
